business_id,name,address,postal_code,stars,review_count,categories,WorkingHours.Monday,WorkingHours.Tuesday,WorkingHours.Wednesday,WorkingHours.Thursday,WorkingHours.Friday,WorkingHours.Saturday,WorkingHours.Sunday
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,19107,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-21:0,7:0-21:0,7:0-21:0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,19106,4.0,245,"Sushi Bars, Restaurants, Japanese",closed,13:30-22:0,13:30-22:0,13:30-22:0,13:30-23:0,13:30-23:0,13:30-22:0
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,19147,4.5,205,"Korean, Restaurants",11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,closed
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,19123,3.5,65,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",0:0-0:0,closed,16:0-22:0,16:0-22:0,16:0-19:0,11:0-23:0,11:0-20:0
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,19104,3.0,56,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,19130,3.0,137,"Restaurants, Chinese",0:0-0:0,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,12:0-22:30
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1523 E Susquehanna Ave,19125,4.0,105,"Food, Coffee & Tea",0:0-0:0,8:0-15:0,7:0-15:0,8:0-15:0,7:0-15:0,8:0-15:0,8:0-15:0
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,19147,4.5,183,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,19139,4.5,66,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",9:0-22:0,9:0-22:0,9:0-22:0,9:0-23:0,9:0-23:0,9:0-23:0,11:0-20:0
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,19103,4.0,618,"Restaurants, American (New), Breakfast & Brunch, Burgers",0:0-0:0,17:0-21:0,17:0-21:0,17:0-21:0,16:0-21:0,16:0-22:0,16:0-21:0
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,19126,4.5,351,"Korean, Restaurants",10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,19147,4.0,604,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",0:0-0:0,16:0-22:0,16:0-22:0,12:0-22:0,16:0-0:0,11:0-0:0,10:0-2:0
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,9711 Roosevelt Blvd,19114,4.0,80,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",0:0-0:0,10:30-18:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-20:0,closed
